"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88"
-37,-52,-65,-63,-17,-4,-57,-55,-66,-82,-62,-46,-83,-18,-33,-38,-81,-12,-45,-10,-14,-42,-88,-51,-11,-61,-79,-77,-70,-32,-20,-49,-27,-29,-24,-8,-86,-50,-58,-53,-40,-76,-34,-36,-1,-31,-7,-3,-48,-64,-56,-28,-25,-84,-54,-69,-19,-60,-78,-22,-23,-30,-87,-71,-43,-67,-6,-5,-59,-13,-73,-44,-21,-9,-80,-74,-72,-85,-41,-68,-15,-16,-26,-47,-2,-75,-35,-39
-49,-65,-82,-75,-57,-4,-83,-39,-70,-84,-71,-85,-44,-31,-88,-87,-72,-16,-12,-14,-3,-59,-60,-77,-23,-5,-9,-19,-76,-13,-58,-7,-50,-53,-41,-36,-48,-69,-30,-66,-42,-27,-11,-45,-38,-21,-17,-10,-46,-54,-86,-47,-1,-22,-15,-81,-6,-51,-29,-25,-8,-78,-63,-28,-67,-18,-56,-26,-73,-62,-64,-79,-33,-2,-80,-37,-68,-43,-34,-24,-55,-35,-20,-52,-74,-61,-40,-32
-15,-85,-55,-30,-81,-87,-10,-43,-7,-77,-76,-60,-80,-9,-13,-51,-68,-75,-27,-20,-3,-52,-38,-17,-48,-36,-56,-62,-54,-63,-40,-22,-24,-35,-37,-2,-45,-49,-16,-53,-46,-78,-67,-33,-23,-39,-1,-70,-50,-58,-72,-74,-57,-65,-32,-71,-8,-88,-59,-18,-79,-29,-66,-6,-73,-19,-82,-14,-69,-47,-28,-21,-83,-64,-5,-86,-84,-25,-41,-44,-4,-26,-34,-31,-11,-42,-61,-12
-59,-73,-76,-82,-60,-53,-39,-64,-79,-35,-71,-43,-37,-44,-25,-14,-3,-6,-7,-61,-1,-5,-9,-54,-26,-67,-75,-21,-24,-41,-85,-18,-69,-56,-15,-2,-88,-29,-42,-16,-55,-84,-62,-58,-46,-57,-36,-50,-66,-83,-48,-47,-4,-23,-45,-78,-11,-77,-86,-38,-52,-32,-74,-31,-13,-49,-34,-63,-33,-68,-81,-87,-10,-72,-40,-65,-19,-80,-12,-8,-28,-17,-20,-22,-70,-51,-27,-30
-56,-34,-76,-70,-74,-6,-57,-7,-9,-48,-32,-54,-21,-67,-20,-26,-49,-18,-52,-77,-61,-78,-39,-25,-83,-28,-4,-85,-59,-24,-29,-11,-51,-82,-87,-27,-62,-8,-40,-43,-72,-35,-86,-17,-2,-58,-1,-3,-45,-19,-65,-31,-22,-42,-69,-46,-80,-71,-64,-5,-73,-12,-53,-14,-75,-44,-63,-88,-16,-23,-81,-47,-79,-15,-84,-30,-13,-41,-33,-50,-37,-10,-36,-68,-55,-66,-60,-38
-43,-69,-72,-25,-10,-59,-57,-87,-22,-9,-80,-1,-70,-47,-17,-39,-64,-51,-54,-85,-27,-42,-40,-15,-12,-44,-84,-61,-53,-16,-36,-62,-83,-35,-46,-18,-19,-14,-38,-82,-28,-3,-76,-58,-37,-29,-23,-20,-68,-34,-26,-30,-49,-63,-52,-31,-79,-60,-86,-6,-48,-13,-41,-21,-66,-4,-88,-71,-50,-8,-77,-24,-67,-45,-81,-5,-65,-75,-56,-55,-7,-73,-32,-11,-74,-2,-78,-33
-40,-13,-85,-24,-8,-73,-47,-66,-76,-74,-21,-75,-60,-84,-71,-50,-46,-64,-32,-35,-31,-10,-78,-3,-37,-19,-53,-54,-9,-26,-79,-62,-22,-25,-2,-68,-4,-16,-70,-42,-86,-77,-36,-57,-43,-38,-14,-30,-67,-49,-56,-44,-72,-55,-59,-39,-88,-18,-34,-83,-11,-28,-51,-52,-12,-63,-58,-20,-7,-69,-17,-15,-65,-87,-81,-33,-27,-1,-61,-5,-82,-23,-45,-41,-29,-6,-48,-80
-45,-41,-7,-46,-43,-14,-33,-5,-61,-16,-51,-87,-9,-18,-4,-29,-6,-10,-30,-2,-60,-88,-25,-47,-3,-42,-19,-57,-54,-66,-73,-12,-48,-23,-59,-40,-64,-78,-69,-28,-27,-85,-1,-24,-37,-56,-53,-55,-76,-75,-52,-80,-34,-36,-15,-72,-8,-32,-84,-79,-49,-67,-31,-21,-81,-58,-74,-35,-83,-71,-68,-77,-39,-22,-82,-70,-11,-38,-65,-86,-17,-26,-63,-62,-20,-44,-13,-50
-28,-5,-32,-69,-78,-42,-2,-76,-72,-73,-64,-7,-57,-56,-59,-12,-26,-70,-53,-75,-17,-39,-40,-21,-74,-24,-31,-66,-30,-63,-4,-48,-88,-10,-6,-9,-67,-41,-83,-11,-36,-62,-55,-14,-46,-87,-79,-51,-15,-81,-35,-49,-58,-29,-34,-16,-85,-13,-82,-86,-60,-27,-3,-47,-84,-61,-68,-45,-19,-52,-80,-43,-50,-23,-77,-44,-20,-71,-25,-1,-18,-65,-37,-54,-38,-22,-8,-33
-46,-42,-49,-71,-50,-67,-65,-58,-87,-69,-55,-57,-11,-70,-19,-6,-80,-13,-79,-28,-31,-44,-12,-73,-51,-52,-5,-33,-14,-41,-43,-2,-74,-54,-17,-35,-86,-68,-72,-81,-88,-38,-76,-4,-37,-16,-47,-40,-61,-62,-32,-22,-8,-63,-34,-53,-56,-75,-78,-18,-3,-10,-26,-60,-45,-82,-66,-48,-27,-29,-36,-23,-21,-77,-59,-24,-64,-39,-30,-15,-85,-83,-7,-9,-84,-1,-20,-25
