"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
-100,-90,-47,-1,-87,-79,-39,-54,-34,-65,-15,-28,-91,-86,-53,-18,-59,-3,-42,-24,-10,-21,-26,-84,-9,-12,-38,-16,-72,-57,-49,-44,-30,-27,-48,-78,-55,-95,-82,-41,-83,-43,-99,-67,-97,-8,-22,-6,-13,-50,-76,-31,-62,-75,-69,-96,-25,-80,-2,-63,-17,-4,-68,-81,-14,-88,-66,-19,-52,-51,-70,-98,-46,-35,-92,-85,-58,-11,-40,-20,-77,-93,-74,-37,-5,-23,-71,-33,-61,-45,-29,-73,-89,-60,-94,-36,-56,-7,-64,-32
-8,-56,-26,-69,-48,-34,-71,-5,-33,-65,-46,-63,-88,-31,-41,-11,-61,-90,-86,-95,-55,-100,-28,-39,-32,-50,-64,-45,-30,-94,-83,-67,-72,-81,-17,-42,-91,-25,-23,-10,-74,-49,-97,-1,-66,-14,-9,-21,-98,-18,-78,-13,-58,-57,-59,-70,-60,-43,-76,-92,-80,-87,-62,-24,-7,-75,-53,-35,-37,-85,-27,-54,-84,-52,-51,-82,-15,-2,-36,-6,-68,-3,-22,-79,-12,-29,-89,-73,-93,-99,-44,-19,-40,-77,-96,-16,-20,-38,-47,-4
-22,-83,-9,-40,-44,-45,-15,-6,-96,-34,-67,-48,-87,-90,-79,-43,-85,-81,-10,-61,-23,-97,-73,-55,-27,-100,-86,-88,-78,-5,-89,-68,-21,-95,-11,-18,-64,-42,-70,-92,-91,-7,-63,-13,-51,-56,-3,-41,-30,-53,-19,-65,-47,-24,-26,-62,-93,-17,-57,-1,-58,-82,-75,-74,-69,-14,-54,-38,-72,-12,-59,-50,-80,-39,-25,-71,-66,-20,-16,-31,-99,-37,-8,-77,-36,-29,-60,-98,-4,-94,-28,-76,-52,-46,-35,-84,-2,-33,-32,-49
-71,-1,-30,-57,-46,-64,-19,-68,-32,-28,-54,-17,-38,-11,-58,-40,-16,-63,-94,-45,-66,-84,-77,-9,-36,-82,-91,-78,-7,-99,-100,-2,-97,-89,-8,-53,-75,-60,-59,-62,-95,-52,-88,-34,-92,-73,-22,-14,-70,-43,-35,-41,-79,-25,-83,-27,-4,-6,-65,-33,-93,-37,-50,-98,-10,-23,-13,-15,-20,-24,-69,-51,-18,-42,-90,-67,-49,-61,-47,-39,-12,-81,-87,-26,-48,-80,-3,-74,-96,-72,-86,-29,-21,-31,-44,-56,-85,-76,-5,-55
-56,-94,-20,-70,-100,-11,-8,-41,-14,-4,-37,-52,-87,-78,-55,-98,-89,-36,-24,-97,-39,-64,-1,-43,-76,-22,-80,-99,-50,-7,-60,-30,-68,-15,-48,-79,-74,-59,-53,-33,-93,-19,-77,-26,-23,-71,-2,-42,-63,-82,-9,-17,-57,-91,-58,-45,-28,-95,-35,-85,-92,-61,-51,-31,-47,-88,-86,-16,-84,-3,-38,-90,-72,-34,-10,-54,-66,-29,-81,-73,-27,-83,-96,-44,-5,-13,-49,-67,-75,-12,-46,-25,-21,-65,-18,-62,-32,-6,-69,-40
-5,-84,-20,-98,-61,-35,-58,-57,-26,-21,-29,-22,-85,-67,-4,-79,-96,-7,-63,-31,-51,-6,-81,-36,-70,-25,-87,-82,-66,-78,-99,-14,-55,-48,-45,-17,-92,-15,-9,-74,-69,-97,-76,-3,-38,-10,-42,-59,-39,-32,-2,-91,-68,-56,-33,-43,-30,-94,-52,-23,-24,-93,-86,-64,-62,-54,-1,-19,-11,-49,-53,-100,-83,-18,-40,-89,-37,-72,-50,-34,-47,-12,-28,-75,-80,-8,-90,-41,-13,-44,-73,-60,-65,-27,-88,-46,-16,-95,-77,-71
-12,-54,-89,-67,-48,-9,-45,-83,-87,-52,-26,-33,-41,-34,-90,-76,-10,-25,-18,-98,-77,-46,-22,-32,-4,-59,-97,-72,-82,-20,-99,-24,-51,-80,-1,-31,-56,-42,-47,-35,-94,-15,-36,-38,-11,-21,-27,-75,-78,-62,-69,-49,-39,-3,-30,-40,-61,-68,-16,-29,-88,-13,-53,-85,-84,-43,-37,-66,-63,-73,-7,-79,-100,-58,-92,-50,-71,-64,-60,-55,-91,-93,-44,-96,-57,-28,-17,-14,-6,-65,-2,-19,-74,-81,-86,-70,-5,-8,-23,-95
-60,-59,-56,-52,-84,-22,-89,-40,-92,-71,-17,-58,-73,-62,-48,-85,-33,-61,-27,-81,-97,-67,-74,-9,-99,-82,-94,-93,-65,-75,-2,-3,-29,-41,-35,-57,-83,-68,-63,-16,-79,-78,-80,-37,-98,-7,-6,-25,-43,-96,-87,-88,-19,-11,-91,-55,-32,-46,-12,-100,-72,-45,-5,-70,-42,-30,-4,-1,-44,-8,-28,-20,-24,-31,-21,-53,-26,-14,-49,-90,-15,-86,-77,-66,-95,-39,-36,-64,-10,-76,-34,-38,-13,-18,-54,-51,-23,-47,-69,-50
-40,-83,-4,-45,-19,-63,-11,-28,-95,-57,-61,-97,-35,-32,-18,-43,-14,-59,-67,-69,-44,-79,-36,-1,-89,-68,-50,-77,-75,-7,-60,-62,-51,-37,-100,-5,-20,-8,-66,-90,-91,-52,-56,-86,-6,-94,-53,-33,-65,-26,-9,-54,-70,-84,-13,-55,-34,-29,-49,-42,-81,-38,-87,-88,-85,-80,-31,-47,-41,-15,-82,-58,-30,-22,-99,-72,-23,-27,-17,-98,-25,-46,-10,-78,-24,-16,-21,-96,-3,-74,-73,-71,-93,-48,-92,-39,-2,-76,-64,-12
-60,-24,-46,-70,-90,-23,-55,-16,-54,-51,-33,-93,-94,-27,-69,-2,-53,-87,-1,-44,-6,-4,-52,-15,-67,-42,-85,-88,-96,-97,-72,-64,-74,-41,-19,-89,-47,-12,-29,-75,-65,-11,-5,-82,-14,-43,-81,-57,-80,-68,-18,-26,-86,-9,-61,-71,-79,-40,-25,-76,-84,-13,-39,-50,-20,-8,-28,-58,-30,-31,-77,-100,-59,-36,-7,-35,-3,-34,-32,-99,-10,-95,-21,-45,-56,-83,-73,-62,-92,-66,-98,-37,-17,-91,-78,-49,-22,-38,-63,-48
-90,-99,-80,-82,-85,-55,-4,-43,-93,-50,-91,-74,-35,-25,-86,-84,-72,-13,-57,-45,-20,-78,-2,-7,-69,-92,-8,-42,-26,-9,-88,-65,-29,-83,-33,-67,-100,-30,-36,-49,-47,-22,-73,-10,-71,-54,-14,-24,-63,-62,-52,-11,-19,-32,-60,-61,-6,-56,-51,-53,-81,-79,-48,-58,-21,-77,-76,-17,-44,-12,-96,-28,-31,-5,-27,-39,-68,-38,-37,-75,-97,-94,-87,-16,-23,-1,-34,-70,-59,-46,-15,-89,-3,-95,-66,-40,-18,-41,-64,-98
-6,-83,-99,-62,-35,-40,-75,-45,-44,-52,-68,-39,-3,-78,-22,-48,-17,-14,-74,-7,-96,-32,-49,-85,-92,-72,-100,-18,-80,-21,-97,-79,-82,-10,-65,-66,-76,-95,-1,-87,-56,-30,-69,-5,-31,-61,-2,-91,-33,-50,-16,-88,-36,-8,-13,-89,-54,-53,-94,-93,-90,-11,-47,-64,-71,-98,-67,-51,-63,-23,-81,-84,-86,-20,-57,-42,-60,-38,-25,-73,-37,-77,-26,-41,-46,-43,-4,-58,-59,-15,-34,-70,-29,-28,-19,-9,-27,-55,-12,-24
-4,-64,-96,-73,-85,-1,-3,-86,-70,-87,-60,-32,-15,-50,-46,-79,-81,-39,-16,-2,-43,-61,-67,-18,-71,-100,-88,-45,-40,-48,-63,-77,-90,-65,-94,-98,-68,-75,-38,-76,-21,-7,-26,-95,-11,-25,-44,-19,-74,-8,-33,-35,-5,-12,-57,-53,-24,-62,-66,-51,-97,-9,-47,-92,-59,-49,-36,-42,-30,-56,-99,-82,-91,-31,-78,-84,-54,-22,-20,-72,-17,-55,-13,-6,-52,-10,-80,-89,-69,-37,-14,-29,-27,-23,-83,-93,-58,-34,-28,-41
-2,-78,-37,-56,-94,-4,-82,-41,-43,-18,-6,-36,-87,-66,-52,-32,-91,-72,-21,-71,-14,-39,-75,-33,-30,-59,-93,-79,-100,-15,-10,-13,-7,-65,-24,-86,-55,-96,-74,-61,-25,-90,-28,-95,-64,-34,-9,-77,-68,-19,-70,-8,-3,-22,-76,-40,-49,-16,-57,-98,-50,-31,-17,-60,-46,-23,-20,-5,-63,-29,-38,-89,-62,-12,-85,-84,-69,-81,-1,-83,-99,-48,-53,-58,-27,-42,-54,-51,-11,-92,-47,-44,-35,-73,-97,-88,-80,-26,-67,-45
