"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88"
-4,-69,-85,-73,-54,-74,-49,-5,-38,-82,-30,-76,-37,-84,-35,-71,-39,-33,-44,-31,-63,-1,-57,-16,-22,-62,-15,-70,-56,-26,-81,-45,-12,-3,-75,-25,-42,-48,-68,-88,-10,-64,-79,-41,-32,-6,-80,-8,-60,-43,-53,-23,-46,-87,-11,-18,-61,-51,-28,-34,-50,-7,-14,-78,-66,-27,-17,-86,-36,-2,-47,-29,-58,-24,-13,-59,-21,-55,-65,-52,-67,-83,-72,-40,-20,-9,-19,-77
-67,-15,-45,-76,-57,-5,-22,-13,-80,-87,-84,-31,-36,-38,-7,-85,-4,-81,-47,-2,-44,-59,-10,-72,-41,-83,-78,-29,-65,-56,-33,-18,-86,-75,-37,-60,-23,-68,-40,-42,-48,-30,-21,-20,-12,-3,-27,-50,-55,-19,-25,-32,-63,-69,-52,-9,-1,-73,-71,-24,-46,-28,-58,-8,-51,-82,-54,-43,-49,-74,-62,-35,-79,-14,-34,-39,-53,-70,-88,-66,-64,-6,-26,-61,-11,-77,-16,-17
-2,-83,-33,-14,-34,-55,-71,-36,-68,-28,-87,-81,-62,-60,-44,-73,-57,-49,-38,-79,-72,-65,-61,-47,-64,-84,-59,-51,-85,-11,-63,-5,-15,-37,-66,-75,-6,-53,-17,-27,-50,-80,-29,-12,-18,-56,-20,-9,-43,-86,-13,-22,-26,-42,-45,-46,-25,-82,-7,-8,-54,-58,-67,-10,-1,-16,-74,-78,-41,-40,-24,-23,-70,-69,-48,-31,-19,-76,-32,-3,-35,-39,-88,-30,-77,-52,-21,-4
-24,-4,-33,-12,-5,-1,-29,-30,-26,-22,-72,-37,-47,-38,-31,-68,-46,-70,-20,-42,-57,-52,-21,-45,-60,-73,-86,-25,-76,-51,-59,-64,-14,-15,-54,-78,-2,-34,-6,-7,-66,-44,-48,-13,-65,-77,-41,-75,-67,-39,-79,-8,-9,-74,-16,-43,-17,-63,-56,-55,-87,-71,-27,-18,-19,-11,-40,-88,-61,-69,-10,-23,-83,-82,-3,-36,-80,-81,-62,-28,-85,-32,-53,-58,-49,-84,-50,-35
-36,-50,-51,-88,-1,-47,-55,-71,-24,-41,-59,-43,-72,-82,-76,-31,-48,-46,-61,-11,-28,-18,-79,-78,-21,-10,-86,-29,-15,-13,-49,-7,-17,-14,-23,-26,-27,-70,-75,-57,-54,-19,-20,-74,-52,-22,-3,-39,-84,-56,-35,-40,-45,-81,-42,-65,-68,-83,-67,-4,-2,-85,-12,-73,-30,-63,-53,-58,-34,-62,-16,-32,-5,-37,-25,-44,-38,-8,-60,-66,-69,-87,-80,-33,-64,-77,-6,-9
-65,-57,-26,-46,-55,-15,-38,-64,-59,-81,-70,-44,-75,-51,-3,-71,-68,-83,-22,-8,-30,-25,-31,-69,-11,-2,-61,-10,-86,-29,-47,-20,-32,-80,-1,-23,-12,-87,-17,-27,-16,-88,-18,-62,-45,-19,-43,-37,-48,-21,-39,-49,-84,-77,-72,-9,-34,-63,-42,-6,-60,-52,-4,-67,-5,-35,-56,-74,-50,-73,-14,-7,-76,-66,-85,-58,-82,-28,-78,-36,-53,-33,-40,-13,-24,-54,-79,-41
-73,-36,-51,-33,-48,-20,-44,-22,-10,-24,-61,-65,-46,-60,-21,-1,-8,-19,-64,-62,-37,-68,-82,-45,-78,-35,-43,-41,-25,-14,-77,-6,-26,-7,-84,-28,-11,-88,-67,-56,-9,-18,-15,-85,-63,-86,-3,-38,-72,-58,-29,-83,-74,-71,-42,-40,-55,-2,-23,-16,-79,-87,-76,-81,-47,-34,-30,-53,-52,-27,-50,-54,-80,-13,-32,-57,-39,-17,-70,-49,-5,-12,-31,-59,-66,-69,-75,-4
-6,-2,-11,-28,-52,-7,-31,-76,-32,-4,-34,-14,-37,-72,-29,-64,-22,-82,-56,-88,-39,-70,-59,-68,-27,-49,-50,-61,-40,-5,-17,-13,-26,-21,-69,-48,-12,-81,-42,-84,-9,-55,-25,-38,-24,-43,-51,-85,-45,-54,-78,-63,-73,-66,-53,-41,-58,-74,-15,-16,-75,-46,-3,-44,-87,-8,-60,-83,-30,-79,-65,-86,-20,-77,-33,-62,-10,-1,-67,-80,-35,-36,-71,-18,-57,-47,-19,-23
-13,-6,-12,-84,-61,-17,-45,-23,-30,-34,-62,-80,-37,-52,-4,-78,-75,-73,-50,-2,-65,-85,-14,-7,-67,-1,-15,-24,-55,-18,-36,-20,-35,-16,-71,-49,-33,-57,-53,-39,-64,-22,-29,-51,-82,-48,-28,-26,-8,-76,-81,-25,-69,-88,-83,-3,-11,-31,-59,-21,-9,-66,-19,-47,-38,-70,-5,-68,-10,-46,-43,-79,-63,-86,-32,-27,-54,-74,-56,-60,-58,-44,-40,-42,-72,-87,-41,-77
-74,-41,-44,-68,-11,-27,-50,-12,-14,-23,-39,-58,-83,-60,-77,-51,-20,-76,-8,-71,-10,-46,-45,-42,-15,-80,-84,-16,-28,-3,-67,-86,-17,-13,-64,-38,-5,-73,-87,-4,-82,-79,-32,-33,-75,-70,-61,-72,-7,-6,-43,-36,-29,-81,-49,-69,-21,-34,-18,-26,-55,-52,-48,-9,-66,-30,-62,-35,-85,-19,-40,-1,-25,-53,-2,-47,-63,-65,-78,-37,-54,-57,-31,-59,-22,-56,-24,-88
