"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
-21,-95,-44,-5,-66,-79,-37,-96,-23,-84,-31,-6,-88,-85,-89,-40,-2,-15,-56,-9,-50,-1,-14,-57,-98,-24,-61,-47,-68,-72,-4,-19,-54,-35,-83,-20,-16,-36,-71,-97,-74,-60,-100,-27,-91,-48,-67,-70,-82,-75,-22,-53,-58,-55,-99,-78,-8,-73,-90,-41,-39,-32,-92,-38,-12,-52,-26,-69,-49,-76,-62,-86,-34,-13,-3,-33,-29,-80,-45,-30,-43,-94,-18,-17,-42,-64,-46,-65,-63,-87,-81,-11,-93,-77,-10,-51,-7,-25,-28,-59
-59,-23,-30,-60,-29,-26,-17,-80,-64,-61,-34,-87,-2,-41,-100,-36,-11,-48,-6,-62,-74,-28,-97,-49,-75,-57,-45,-56,-85,-79,-81,-13,-16,-44,-69,-89,-95,-72,-63,-50,-39,-37,-65,-47,-82,-91,-94,-12,-18,-90,-78,-32,-9,-14,-77,-22,-10,-19,-73,-7,-3,-24,-92,-58,-38,-25,-93,-15,-40,-21,-4,-83,-1,-31,-99,-27,-68,-46,-67,-71,-51,-55,-96,-8,-88,-20,-33,-52,-98,-35,-5,-43,-66,-86,-70,-84,-54,-53,-76,-42
-92,-29,-58,-84,-95,-25,-2,-72,-65,-60,-12,-16,-83,-37,-80,-42,-70,-74,-10,-94,-86,-15,-57,-59,-53,-21,-79,-11,-67,-99,-7,-62,-85,-96,-41,-38,-66,-17,-89,-71,-27,-23,-26,-43,-22,-46,-30,-14,-28,-68,-77,-3,-69,-8,-63,-48,-52,-20,-98,-64,-61,-88,-75,-32,-1,-34,-93,-78,-6,-31,-90,-35,-13,-40,-4,-47,-87,-56,-91,-81,-82,-51,-24,-44,-39,-5,-36,-73,-18,-49,-45,-54,-9,-97,-33,-100,-50,-19,-76,-55
-68,-66,-46,-6,-77,-81,-1,-74,-52,-62,-11,-67,-26,-7,-23,-71,-34,-36,-14,-97,-86,-100,-99,-42,-25,-31,-82,-8,-78,-10,-45,-16,-37,-61,-72,-28,-27,-47,-13,-32,-94,-3,-88,-60,-51,-89,-96,-5,-24,-50,-85,-12,-9,-18,-35,-15,-80,-98,-69,-22,-65,-17,-53,-19,-92,-30,-20,-44,-59,-2,-64,-93,-75,-56,-38,-87,-84,-63,-41,-57,-55,-70,-79,-73,-90,-76,-58,-43,-83,-48,-39,-91,-4,-33,-40,-95,-54,-21,-49,-29
-75,-91,-24,-85,-38,-94,-16,-82,-22,-7,-67,-42,-26,-3,-48,-56,-92,-62,-46,-60,-68,-95,-84,-34,-9,-14,-52,-86,-90,-66,-6,-36,-33,-13,-54,-57,-15,-79,-5,-99,-20,-29,-72,-83,-71,-1,-35,-12,-2,-70,-40,-23,-31,-8,-69,-21,-4,-28,-89,-17,-51,-64,-55,-18,-65,-45,-39,-41,-80,-10,-32,-25,-87,-97,-43,-49,-11,-74,-96,-76,-77,-81,-47,-30,-37,-78,-27,-100,-88,-53,-44,-58,-19,-59,-93,-98,-63,-61,-50,-73
-33,-85,-52,-87,-92,-78,-18,-68,-34,-21,-14,-91,-79,-5,-88,-51,-99,-77,-90,-96,-2,-76,-11,-30,-6,-28,-70,-62,-89,-93,-38,-100,-44,-63,-47,-27,-59,-42,-60,-80,-16,-48,-10,-39,-55,-56,-95,-15,-64,-12,-4,-73,-37,-20,-97,-69,-7,-40,-84,-86,-35,-29,-65,-26,-31,-36,-67,-54,-3,-50,-9,-72,-46,-8,-82,-23,-24,-49,-25,-45,-94,-61,-83,-32,-17,-57,-71,-19,-58,-43,-53,-41,-22,-75,-1,-98,-81,-13,-66,-74
-77,-54,-44,-39,-81,-74,-28,-62,-4,-66,-19,-42,-99,-90,-22,-58,-12,-93,-5,-33,-38,-65,-68,-16,-50,-24,-98,-2,-96,-18,-9,-26,-52,-71,-27,-51,-89,-87,-15,-75,-36,-48,-80,-64,-32,-79,-69,-10,-59,-60,-43,-23,-29,-7,-14,-49,-76,-30,-11,-86,-17,-41,-82,-92,-1,-88,-13,-40,-95,-83,-35,-47,-3,-84,-72,-21,-73,-78,-67,-57,-6,-94,-34,-31,-61,-70,-55,-97,-100,-56,-91,-8,-37,-20,-63,-85,-45,-46,-25,-53
-80,-20,-48,-90,-64,-28,-45,-54,-1,-17,-23,-14,-39,-60,-26,-43,-38,-94,-78,-93,-6,-61,-11,-29,-10,-19,-82,-81,-73,-97,-71,-56,-3,-44,-25,-35,-98,-42,-34,-58,-24,-46,-13,-55,-66,-30,-76,-88,-50,-57,-77,-96,-63,-92,-7,-87,-8,-79,-16,-15,-40,-99,-49,-74,-62,-47,-84,-75,-2,-53,-100,-9,-91,-33,-21,-27,-36,-4,-85,-95,-72,-41,-65,-86,-70,-52,-18,-67,-12,-68,-22,-32,-51,-83,-31,-59,-69,-37,-89,-5
-10,-75,-13,-85,-87,-70,-58,-20,-15,-3,-48,-62,-52,-23,-4,-91,-81,-14,-7,-43,-28,-80,-30,-86,-59,-57,-64,-22,-99,-89,-100,-93,-35,-98,-83,-42,-73,-56,-18,-95,-78,-74,-12,-8,-79,-27,-71,-39,-19,-40,-68,-53,-54,-24,-6,-55,-60,-63,-76,-37,-61,-77,-69,-65,-1,-29,-72,-50,-97,-5,-66,-82,-46,-45,-26,-88,-41,-16,-67,-38,-90,-2,-84,-33,-51,-49,-25,-9,-94,-92,-32,-34,-31,-11,-36,-21,-17,-96,-47,-44
-33,-30,-11,-94,-90,-99,-23,-29,-15,-32,-70,-59,-10,-65,-21,-42,-88,-35,-77,-2,-36,-14,-72,-50,-78,-40,-91,-13,-28,-51,-22,-83,-96,-37,-19,-46,-63,-95,-25,-27,-75,-4,-64,-53,-60,-1,-73,-3,-43,-58,-89,-62,-68,-61,-12,-85,-82,-92,-31,-52,-79,-34,-55,-100,-20,-18,-24,-48,-56,-16,-84,-57,-81,-8,-17,-54,-7,-44,-98,-67,-76,-9,-39,-80,-41,-26,-97,-74,-71,-86,-49,-66,-6,-45,-47,-93,-38,-69,-5,-87
