\begin{tabular}{rrr}
\toprule
   0 &  1 &    2 \\
\midrule
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
   1 &  0 &   99 \\
   0 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
   0 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
  14 &  0 &   86 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
   0 &  0 &  100 \\
 100 &  0 &  100 \\
   1 &  0 &   99 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
   0 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
   0 &  0 &  100 \\
   0 &  0 &  100 \\
\bottomrule
\end{tabular}
