"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88"
-69,-36,-39,-64,-85,-27,-80,-15,-79,-72,-43,-6,-52,-23,-31,-17,-35,-59,-18,-16,-76,-63,-86,-50,-81,-73,-84,-28,-71,-60,-53,-68,-9,-11,-65,-54,-82,-42,-51,-45,-3,-33,-67,-19,-56,-66,-21,-14,-78,-34,-61,-44,-62,-77,-12,-10,-13,-30,-75,-58,-83,-32,-5,-55,-22,-46,-29,-4,-25,-26,-70,-88,-20,-40,-48,-57,-2,-7,-37,-74,-38,-49,-87,-41,-8,-24,-1,-47
-52,-83,-1,-43,-63,-10,-45,-25,-33,-86,-6,-42,-66,-82,-2,-17,-60,-78,-20,-15,-48,-26,-53,-8,-30,-46,-41,-81,-40,-23,-36,-29,-14,-68,-67,-21,-84,-65,-59,-11,-9,-35,-79,-50,-19,-54,-62,-88,-73,-47,-24,-58,-18,-27,-76,-3,-5,-80,-4,-38,-71,-34,-12,-74,-16,-70,-61,-49,-44,-57,-7,-85,-28,-72,-51,-13,-39,-22,-31,-69,-75,-32,-64,-37,-56,-87,-77,-55
-14,-29,-26,-37,-78,-19,-24,-3,-81,-51,-25,-88,-59,-33,-10,-48,-1,-15,-12,-47,-85,-80,-87,-63,-32,-55,-86,-53,-69,-73,-2,-44,-20,-65,-42,-45,-68,-34,-82,-60,-84,-17,-70,-4,-28,-66,-75,-67,-35,-18,-6,-23,-74,-50,-21,-38,-7,-61,-64,-62,-56,-79,-52,-54,-76,-39,-36,-77,-40,-49,-16,-58,-31,-41,-71,-9,-22,-43,-13,-83,-30,-57,-46,-11,-8,-27,-5,-72
-83,-1,-13,-23,-43,-48,-29,-63,-66,-76,-8,-73,-50,-55,-16,-38,-9,-86,-85,-14,-87,-67,-72,-47,-31,-64,-68,-56,-40,-18,-20,-77,-61,-6,-21,-54,-22,-10,-71,-12,-2,-28,-15,-81,-84,-82,-4,-74,-78,-27,-49,-26,-62,-51,-19,-35,-33,-53,-59,-5,-57,-34,-52,-37,-36,-24,-46,-75,-70,-41,-25,-30,-42,-80,-79,-45,-39,-32,-65,-60,-69,-17,-88,-7,-44,-11,-3,-58
-27,-26,-23,-2,-74,-49,-83,-8,-28,-67,-39,-56,-59,-63,-5,-87,-77,-9,-38,-68,-35,-79,-13,-66,-46,-61,-47,-3,-14,-1,-34,-86,-41,-4,-15,-58,-45,-76,-70,-40,-7,-31,-36,-78,-52,-84,-30,-75,-72,-71,-80,-48,-32,-22,-50,-82,-33,-69,-55,-54,-37,-11,-24,-43,-64,-20,-42,-16,-73,-12,-51,-25,-65,-6,-44,-53,-10,-57,-29,-81,-88,-62,-17,-60,-85,-21,-18,-19
-35,-87,-1,-74,-7,-77,-19,-50,-72,-18,-13,-61,-16,-30,-57,-9,-5,-67,-79,-60,-46,-73,-39,-29,-41,-6,-31,-84,-83,-36,-4,-43,-25,-62,-49,-64,-75,-26,-40,-80,-70,-53,-69,-51,-66,-22,-42,-59,-86,-47,-15,-55,-12,-17,-68,-34,-56,-78,-63,-10,-52,-20,-37,-45,-11,-8,-23,-81,-88,-2,-14,-71,-21,-24,-38,-58,-27,-32,-85,-65,-54,-82,-48,-3,-28,-44,-33,-76
-40,-31,-63,-85,-86,-30,-64,-19,-59,-4,-9,-35,-6,-51,-1,-5,-12,-83,-60,-74,-43,-39,-79,-54,-7,-13,-48,-11,-33,-37,-80,-52,-55,-69,-72,-68,-17,-87,-8,-34,-58,-10,-29,-42,-32,-77,-16,-78,-84,-70,-61,-14,-73,-21,-26,-75,-46,-41,-3,-49,-88,-56,-76,-53,-38,-71,-23,-28,-67,-18,-50,-57,-20,-81,-2,-66,-45,-24,-44,-62,-82,-15,-47,-22,-65,-25,-27,-36
-46,-67,-55,-88,-27,-49,-48,-34,-75,-85,-35,-22,-21,-79,-50,-20,-23,-31,-87,-9,-80,-56,-41,-63,-52,-69,-30,-60,-57,-37,-19,-18,-1,-5,-26,-72,-12,-44,-61,-51,-65,-6,-25,-36,-33,-77,-10,-2,-42,-73,-68,-62,-84,-14,-40,-76,-32,-53,-15,-3,-64,-17,-7,-28,-82,-83,-43,-47,-66,-13,-39,-70,-11,-86,-45,-24,-74,-4,-29,-58,-54,-59,-71,-8,-78,-81,-16,-38
-87,-70,-82,-8,-50,-25,-13,-59,-71,-38,-27,-55,-28,-16,-7,-37,-73,-42,-77,-76,-58,-52,-74,-65,-68,-33,-9,-79,-63,-14,-43,-86,-17,-36,-66,-57,-39,-6,-56,-80,-35,-81,-24,-41,-23,-44,-67,-84,-45,-49,-54,-69,-64,-61,-20,-26,-3,-10,-53,-34,-83,-40,-85,-60,-31,-12,-30,-22,-72,-15,-1,-62,-4,-75,-29,-21,-48,-5,-2,-47,-11,-88,-46,-32,-18,-78,-51,-19
-60,-43,-44,-41,-73,-74,-45,-2,-71,-22,-3,-80,-63,-57,-53,-5,-9,-64,-30,-47,-50,-38,-42,-10,-25,-46,-33,-26,-81,-27,-56,-20,-16,-75,-36,-59,-87,-88,-67,-83,-37,-21,-68,-86,-70,-54,-79,-8,-24,-82,-72,-78,-18,-11,-65,-28,-17,-48,-58,-12,-69,-62,-84,-35,-32,-66,-14,-31,-49,-13,-23,-55,-34,-40,-4,-15,-51,-29,-39,-61,-85,-52,-76,-7,-77,-1,-6,-19
