\begin{tabular}{rrr}
\toprule
   0 &  1 &    2 \\
\midrule
 100 &  0 &  100 \\
  99 &  0 &    1 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &    0 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &    0 \\
 100 &  0 &    0 \\
 100 &  0 &    0 \\
 100 &  0 &    0 \\
 100 &  0 &  100 \\
 100 &  0 &    0 \\
 100 &  0 &  100 \\
 100 &  0 &    0 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
 100 &  0 &  100 \\
  99 &  0 &    1 \\
\bottomrule
\end{tabular}
