"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
-34,-63,-73,-12,-56,-48,-98,-75,-26,-57,-54,-83,-66,-10,-85,-52,-76,-14,-95,-89,-17,-69,-62,-5,-88,-4,-46,-51,-50,-33,-77,-91,-7,-15,-87,-27,-58,-24,-29,-23,-64,-3,-59,-94,-25,-79,-84,-16,-47,-96,-39,-9,-71,-32,-80,-1,-31,-82,-99,-22,-53,-68,-49,-38,-41,-97,-11,-19,-74,-30,-44,-35,-86,-2,-28,-60,-8,-45,-6,-61,-93,-90,-43,-65,-20,-67,-40,-13,-70,-37,-78,-92,-36,-81,-100,-18,-42,-21,-72,-55
-89,-46,-30,-8,-40,-61,-1,-14,-12,-90,-43,-77,-45,-48,-87,-13,-34,-29,-94,-70,-60,-56,-98,-6,-85,-52,-11,-54,-16,-74,-64,-79,-50,-35,-80,-86,-26,-10,-68,-3,-32,-100,-36,-75,-57,-42,-23,-9,-76,-17,-78,-22,-59,-2,-62,-4,-24,-44,-28,-20,-96,-71,-69,-51,-67,-49,-73,-18,-99,-19,-53,-38,-92,-95,-63,-39,-82,-55,-72,-47,-33,-93,-83,-21,-37,-5,-7,-41,-66,-25,-65,-58,-91,-31,-88,-15,-84,-27,-97,-81
-34,-77,-38,-48,-83,-23,-8,-41,-36,-86,-3,-78,-49,-18,-94,-68,-39,-28,-82,-100,-44,-63,-30,-6,-92,-85,-25,-1,-13,-27,-96,-60,-33,-26,-95,-11,-58,-45,-70,-54,-4,-88,-12,-14,-15,-75,-89,-71,-66,-21,-24,-43,-80,-42,-74,-20,-64,-46,-91,-62,-19,-67,-69,-97,-59,-73,-35,-50,-93,-40,-22,-84,-61,-31,-81,-17,-72,-56,-55,-16,-37,-7,-53,-87,-76,-99,-52,-98,-32,-65,-79,-29,-5,-9,-10,-57,-90,-2,-47,-51
-92,-86,-54,-73,-79,-63,-71,-6,-1,-88,-77,-45,-84,-66,-52,-42,-13,-23,-17,-2,-30,-5,-67,-4,-20,-58,-25,-44,-89,-29,-94,-33,-14,-59,-28,-16,-87,-22,-69,-37,-3,-97,-47,-57,-56,-9,-36,-24,-61,-49,-60,-27,-38,-39,-31,-53,-95,-55,-96,-8,-35,-80,-46,-91,-98,-93,-76,-21,-85,-7,-90,-64,-50,-81,-15,-18,-40,-70,-51,-43,-75,-26,-74,-34,-83,-10,-65,-12,-62,-48,-41,-72,-19,-100,-78,-99,-68,-11,-82,-32
-27,-22,-36,-84,-20,-94,-25,-90,-97,-70,-69,-74,-57,-82,-55,-14,-12,-4,-86,-11,-78,-88,-50,-3,-83,-62,-18,-65,-52,-32,-73,-95,-48,-10,-100,-30,-45,-39,-40,-8,-91,-76,-15,-63,-79,-31,-68,-21,-7,-34,-81,-24,-56,-42,-60,-41,-35,-89,-58,-26,-92,-67,-59,-38,-99,-54,-2,-1,-96,-13,-71,-49,-66,-93,-28,-80,-37,-5,-64,-75,-46,-47,-9,-53,-43,-61,-29,-72,-23,-33,-6,-16,-44,-85,-51,-87,-17,-77,-98,-19
-73,-78,-46,-70,-76,-37,-19,-8,-32,-21,-15,-28,-61,-88,-1,-5,-68,-17,-94,-67,-36,-45,-65,-6,-91,-89,-58,-18,-54,-95,-90,-83,-56,-20,-31,-80,-99,-49,-57,-81,-52,-98,-2,-74,-60,-50,-82,-35,-92,-14,-87,-24,-53,-63,-84,-55,-22,-100,-96,-86,-26,-44,-38,-10,-9,-41,-66,-51,-77,-11,-71,-75,-48,-16,-7,-12,-93,-43,-23,-39,-13,-97,-29,-85,-59,-42,-25,-30,-62,-64,-33,-27,-3,-40,-72,-79,-34,-4,-47,-69
-93,-71,-91,-63,-1,-12,-16,-78,-34,-38,-2,-37,-74,-39,-59,-6,-79,-47,-69,-21,-66,-50,-60,-97,-15,-85,-11,-19,-92,-72,-48,-24,-86,-29,-49,-27,-45,-62,-64,-80,-20,-42,-36,-46,-84,-52,-10,-77,-41,-17,-76,-96,-56,-57,-3,-31,-75,-55,-23,-22,-88,-100,-44,-98,-70,-7,-94,-83,-30,-33,-68,-81,-8,-58,-25,-87,-53,-26,-32,-65,-82,-35,-73,-14,-61,-51,-54,-40,-28,-67,-95,-9,-18,-99,-4,-89,-90,-5,-43,-13
-62,-32,-35,-90,-33,-49,-34,-97,-83,-50,-38,-98,-6,-89,-9,-63,-79,-95,-52,-39,-85,-41,-47,-17,-86,-46,-61,-77,-28,-82,-87,-21,-4,-51,-96,-19,-3,-84,-40,-12,-65,-69,-10,-99,-45,-8,-55,-80,-25,-15,-27,-16,-93,-72,-59,-92,-56,-67,-91,-71,-29,-78,-44,-24,-66,-64,-48,-53,-37,-13,-81,-88,-58,-60,-75,-94,-1,-70,-22,-36,-57,-14,-74,-43,-30,-68,-42,-73,-18,-26,-23,-100,-7,-54,-76,-5,-11,-20,-31,-2
-36,-4,-84,-83,-13,-16,-31,-43,-21,-69,-94,-23,-100,-78,-12,-34,-82,-28,-14,-70,-56,-61,-54,-42,-74,-29,-19,-66,-6,-48,-9,-93,-2,-15,-58,-53,-99,-81,-46,-32,-18,-62,-50,-55,-97,-95,-1,-57,-77,-75,-64,-7,-59,-22,-90,-60,-30,-72,-41,-96,-17,-79,-51,-27,-45,-52,-35,-91,-76,-49,-67,-26,-80,-10,-98,-89,-73,-20,-40,-3,-63,-38,-44,-71,-24,-85,-25,-39,-8,-65,-5,-87,-11,-86,-37,-88,-47,-33,-92,-68
-46,-27,-13,-48,-79,-85,-36,-71,-5,-56,-89,-66,-68,-91,-75,-55,-94,-42,-14,-8,-7,-17,-80,-59,-83,-24,-41,-16,-99,-44,-62,-54,-21,-37,-32,-50,-96,-6,-23,-64,-18,-35,-61,-9,-76,-67,-33,-78,-72,-38,-69,-49,-90,-52,-88,-28,-92,-25,-77,-86,-87,-20,-93,-22,-70,-98,-40,-43,-74,-12,-60,-51,-10,-58,-100,-95,-4,-45,-15,-39,-26,-47,-97,-34,-57,-1,-30,-29,-84,-19,-73,-2,-11,-53,-63,-65,-31,-81,-82,-3
