"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88"
-78,-67,-20,-58,-32,-37,-30,-66,-71,-88,-82,-13,-10,-29,-25,-86,-65,-43,-77,-46,-16,-24,-59,-87,-1,-11,-23,-6,-62,-7,-56,-68,-44,-35,-4,-28,-57,-15,-64,-2,-9,-19,-51,-49,-80,-55,-83,-54,-21,-17,-22,-33,-61,-40,-53,-84,-14,-81,-12,-48,-26,-36,-63,-69,-42,-76,-72,-39,-70,-38,-79,-74,-85,-18,-52,-75,-60,-50,-41,-47,-8,-45,-31,-73,-34,-3,-27,-5
-49,-76,-67,-52,-42,-34,-47,-81,-85,-3,-72,-83,-14,-73,-5,-71,-59,-46,-88,-51,-18,-79,-57,-54,-37,-15,-4,-29,-70,-24,-11,-8,-77,-62,-7,-6,-35,-22,-32,-9,-33,-27,-75,-20,-55,-66,-31,-10,-64,-13,-56,-21,-19,-2,-45,-50,-40,-36,-63,-84,-16,-43,-80,-82,-87,-23,-58,-30,-26,-65,-74,-39,-60,-12,-69,-61,-78,-28,-25,-44,-48,-38,-68,-86,-41,-53,-1,-17
-30,-13,-37,-73,-2,-12,-16,-68,-64,-36,-34,-56,-33,-58,-48,-55,-24,-32,-66,-53,-8,-31,-45,-43,-6,-1,-38,-18,-67,-51,-88,-11,-20,-52,-25,-42,-74,-39,-21,-71,-75,-54,-78,-80,-82,-70,-23,-14,-3,-17,-65,-4,-57,-86,-9,-72,-27,-76,-81,-46,-28,-26,-49,-40,-47,-87,-29,-84,-7,-79,-10,-50,-83,-77,-15,-69,-35,-44,-41,-61,-5,-22,-62,-85,-63,-60,-59,-19
-22,-83,-14,-56,-47,-41,-9,-10,-40,-33,-28,-19,-66,-49,-79,-68,-51,-25,-78,-13,-39,-15,-27,-6,-8,-63,-70,-58,-82,-7,-54,-11,-45,-65,-32,-34,-67,-17,-62,-5,-4,-46,-55,-57,-88,-72,-81,-71,-52,-21,-86,-74,-26,-61,-30,-75,-3,-20,-77,-38,-29,-48,-50,-80,-53,-1,-35,-18,-84,-43,-64,-36,-85,-31,-23,-12,-2,-44,-37,-87,-73,-60,-24,-76,-42,-69,-59,-16
-74,-18,-29,-11,-4,-56,-81,-63,-24,-80,-35,-22,-38,-8,-48,-19,-52,-78,-49,-25,-20,-45,-36,-17,-28,-10,-72,-5,-42,-79,-50,-33,-84,-1,-68,-7,-41,-70,-16,-66,-44,-53,-73,-47,-83,-55,-46,-9,-69,-51,-54,-34,-32,-61,-39,-85,-37,-62,-58,-31,-82,-27,-71,-3,-77,-30,-88,-14,-6,-43,-65,-75,-12,-26,-13,-57,-86,-59,-23,-67,-15,-2,-87,-64,-21,-76,-40,-60
-21,-87,-26,-24,-44,-67,-2,-31,-33,-47,-5,-53,-19,-72,-51,-77,-46,-70,-45,-65,-7,-9,-11,-15,-12,-66,-32,-86,-82,-49,-74,-81,-69,-38,-39,-41,-42,-52,-43,-34,-80,-14,-73,-54,-60,-56,-79,-37,-84,-8,-40,-22,-6,-61,-75,-55,-17,-23,-25,-30,-3,-35,-4,-83,-16,-18,-36,-29,-63,-85,-20,-10,-48,-68,-27,-58,-76,-13,-78,-62,-28,-88,-71,-50,-59,-57,-64,-1
-9,-53,-79,-73,-1,-14,-25,-64,-8,-3,-51,-29,-38,-47,-16,-27,-63,-20,-40,-36,-23,-17,-50,-5,-83,-55,-54,-56,-68,-48,-45,-28,-77,-33,-11,-15,-46,-71,-85,-24,-65,-30,-75,-37,-59,-49,-7,-2,-21,-4,-81,-31,-86,-43,-66,-74,-41,-87,-70,-22,-69,-88,-78,-26,-52,-32,-61,-58,-60,-6,-13,-82,-18,-76,-44,-80,-72,-12,-34,-19,-62,-57,-35,-67,-42,-39,-10,-84
-18,-81,-79,-22,-11,-10,-35,-41,-36,-42,-62,-31,-58,-85,-67,-48,-24,-29,-1,-19,-21,-9,-34,-20,-8,-13,-57,-6,-69,-2,-49,-3,-60,-61,-37,-84,-7,-40,-63,-73,-53,-23,-46,-30,-80,-71,-77,-72,-75,-4,-5,-16,-17,-33,-64,-59,-26,-15,-25,-12,-88,-78,-86,-47,-74,-28,-87,-44,-50,-70,-82,-45,-39,-51,-27,-55,-66,-14,-56,-38,-76,-68,-52,-83,-32,-54,-43,-65
-49,-14,-18,-47,-2,-1,-55,-43,-78,-30,-62,-8,-22,-11,-29,-73,-65,-68,-56,-50,-61,-24,-46,-7,-15,-59,-66,-87,-83,-9,-26,-6,-85,-21,-41,-74,-48,-32,-10,-28,-75,-72,-23,-39,-27,-36,-35,-52,-13,-88,-42,-53,-81,-44,-40,-54,-3,-58,-51,-80,-79,-31,-64,-33,-86,-34,-60,-38,-17,-69,-16,-63,-82,-25,-84,-12,-37,-4,-57,-70,-67,-71,-76,-77,-20,-45,-5,-19
-86,-61,-29,-79,-7,-37,-63,-36,-51,-20,-74,-1,-8,-19,-55,-10,-67,-47,-40,-57,-15,-26,-32,-21,-49,-34,-9,-41,-85,-24,-76,-80,-18,-28,-6,-72,-84,-4,-5,-60,-73,-52,-69,-88,-56,-83,-2,-71,-53,-48,-30,-13,-23,-50,-77,-25,-65,-38,-46,-3,-39,-43,-81,-64,-58,-14,-16,-45,-82,-22,-87,-31,-44,-42,-33,-12,-75,-11,-17,-70,-78,-54,-66,-35,-59,-27,-68,-62
