"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
-38,-51,-17,-4,-7,-47,-81,-70,-30,-50,-18,-71,-75,-20,-95,-56,-16,-32,-26,-52,-62,-40,-73,-80,-45,-67,-65,-29,-23,-63,-54,-46,-13,-14,-28,-78,-58,-42,-43,-74,-84,-85,-69,-66,-2,-49,-5,-76,-90,-10,-44,-3,-88,-33,-24,-34,-9,-6,-89,-27,-77,-1,-87,-86,-100,-48,-97,-55,-57,-31,-98,-25,-79,-53,-21,-36,-8,-96,-15,-82,-11,-64,-19,-83,-93,-68,-37,-22,-99,-61,-35,-92,-72,-91,-12,-94,-41,-39,-60,-59
-12,-33,-79,-36,-42,-10,-11,-96,-76,-9,-75,-71,-82,-55,-93,-86,-14,-21,-65,-60,-52,-72,-26,-64,-74,-61,-99,-31,-63,-57,-19,-67,-44,-88,-89,-50,-45,-20,-22,-40,-37,-49,-51,-3,-4,-59,-1,-77,-43,-47,-15,-34,-94,-70,-95,-85,-6,-78,-17,-56,-2,-8,-18,-53,-5,-38,-24,-91,-66,-29,-35,-32,-83,-58,-90,-80,-87,-97,-16,-92,-7,-25,-48,-54,-73,-39,-46,-84,-27,-13,-68,-81,-41,-98,-23,-28,-100,-69,-62,-30
-53,-33,-93,-19,-16,-12,-40,-21,-64,-27,-10,-31,-96,-98,-69,-92,-8,-52,-82,-62,-68,-48,-71,-26,-76,-11,-50,-97,-7,-13,-44,-72,-9,-90,-59,-75,-83,-24,-14,-51,-6,-5,-1,-99,-54,-28,-25,-15,-30,-3,-34,-46,-42,-58,-95,-41,-17,-81,-74,-78,-100,-94,-35,-67,-79,-56,-18,-87,-29,-23,-4,-77,-86,-88,-45,-47,-22,-43,-57,-66,-85,-70,-61,-55,-32,-60,-37,-38,-36,-91,-89,-20,-63,-65,-49,-84,-39,-2,-80,-73
-97,-70,-96,-83,-95,-37,-80,-49,-54,-74,-28,-17,-34,-81,-26,-100,-16,-23,-2,-45,-55,-79,-92,-46,-5,-13,-24,-61,-86,-87,-60,-10,-50,-89,-67,-8,-90,-94,-21,-19,-22,-72,-69,-84,-20,-32,-14,-25,-93,-73,-39,-3,-9,-42,-63,-44,-48,-85,-52,-64,-77,-75,-31,-88,-57,-62,-82,-6,-47,-38,-78,-18,-65,-51,-36,-12,-1,-59,-99,-68,-43,-76,-7,-53,-71,-56,-41,-66,-15,-91,-35,-4,-11,-30,-27,-98,-29,-33,-58,-40
-49,-91,-32,-18,-33,-77,-82,-87,-42,-70,-55,-54,-44,-88,-99,-69,-20,-46,-21,-6,-89,-47,-98,-85,-28,-62,-19,-5,-81,-94,-43,-59,-35,-97,-39,-12,-38,-25,-23,-65,-53,-3,-30,-14,-50,-40,-67,-93,-72,-29,-15,-74,-13,-90,-79,-84,-58,-73,-4,-45,-41,-1,-92,-8,-24,-51,-68,-48,-22,-7,-76,-11,-100,-75,-56,-34,-63,-71,-78,-26,-2,-60,-95,-64,-80,-52,-17,-37,-66,-61,-96,-31,-9,-57,-16,-10,-86,-83,-36,-27
-65,-19,-18,-10,-33,-90,-12,-100,-35,-75,-87,-50,-21,-5,-56,-61,-9,-20,-83,-44,-55,-98,-76,-60,-77,-86,-1,-23,-30,-71,-34,-59,-88,-95,-85,-96,-7,-45,-41,-37,-84,-42,-57,-80,-36,-73,-14,-92,-82,-13,-4,-24,-81,-48,-74,-15,-2,-53,-26,-49,-29,-70,-67,-17,-40,-51,-68,-16,-8,-69,-78,-62,-31,-94,-47,-72,-27,-25,-63,-99,-64,-97,-38,-89,-46,-28,-58,-43,-32,-6,-91,-52,-66,-39,-79,-22,-54,-3,-11,-93
-78,-64,-52,-7,-59,-66,-71,-10,-63,-58,-8,-51,-85,-48,-53,-88,-19,-96,-80,-46,-81,-61,-68,-99,-75,-40,-67,-9,-18,-38,-91,-20,-49,-90,-35,-43,-86,-32,-69,-95,-94,-1,-74,-92,-13,-87,-33,-34,-93,-30,-44,-82,-55,-84,-42,-24,-37,-97,-83,-12,-26,-36,-77,-60,-70,-41,-29,-45,-3,-39,-79,-98,-100,-72,-28,-65,-5,-17,-76,-22,-11,-89,-57,-16,-6,-27,-62,-31,-21,-56,-54,-15,-50,-14,-25,-4,-47,-73,-23,-2
-11,-85,-10,-55,-69,-67,-41,-23,-73,-36,-50,-3,-97,-17,-22,-59,-25,-20,-34,-27,-89,-63,-52,-83,-58,-62,-12,-6,-87,-38,-77,-35,-33,-96,-47,-57,-61,-14,-2,-93,-91,-70,-80,-90,-1,-78,-8,-60,-74,-4,-24,-19,-98,-30,-9,-65,-84,-49,-68,-42,-21,-79,-32,-13,-7,-76,-39,-56,-86,-64,-29,-31,-28,-37,-26,-18,-16,-72,-94,-100,-51,-88,-15,-54,-45,-46,-82,-5,-75,-92,-95,-53,-44,-71,-40,-99,-66,-81,-43,-48
-84,-94,-11,-14,-77,-31,-22,-76,-92,-20,-90,-29,-88,-18,-30,-13,-2,-61,-74,-3,-15,-79,-17,-96,-54,-97,-34,-60,-85,-72,-70,-89,-21,-56,-28,-33,-81,-50,-46,-57,-37,-87,-80,-40,-10,-91,-24,-19,-58,-52,-64,-51,-68,-6,-47,-71,-32,-7,-35,-73,-48,-43,-5,-93,-59,-45,-100,-25,-26,-63,-36,-98,-49,-99,-82,-8,-9,-12,-53,-44,-1,-69,-38,-41,-75,-4,-78,-39,-23,-86,-95,-62,-83,-65,-16,-67,-55,-42,-27,-66
-49,-55,-32,-80,-100,-46,-52,-72,-15,-29,-57,-7,-44,-65,-89,-92,-90,-81,-69,-38,-87,-97,-88,-75,-31,-68,-98,-33,-3,-34,-39,-16,-30,-13,-48,-70,-43,-51,-35,-45,-74,-24,-85,-95,-22,-79,-58,-9,-76,-12,-4,-21,-96,-5,-50,-11,-40,-23,-77,-19,-60,-84,-73,-8,-42,-54,-47,-67,-27,-6,-91,-61,-83,-14,-86,-82,-20,-62,-71,-66,-2,-17,-36,-94,-53,-63,-41,-59,-18,-99,-93,-26,-37,-64,-28,-56,-10,-25,-1,-78
-63,-34,-82,-4,-37,-9,-61,-41,-52,-51,-97,-72,-26,-6,-70,-58,-5,-57,-23,-47,-93,-2,-69,-95,-66,-78,-13,-18,-14,-19,-59,-22,-96,-94,-73,-7,-53,-74,-91,-68,-99,-17,-75,-89,-65,-15,-32,-28,-88,-83,-64,-33,-86,-21,-10,-55,-3,-43,-8,-45,-20,-84,-30,-24,-60,-40,-85,-67,-27,-36,-39,-25,-98,-81,-42,-90,-71,-56,-38,-77,-35,-87,-92,-54,-76,-46,-48,-80,-12,-50,-79,-29,-49,-44,-16,-62,-1,-31,-11,-100
-3,-36,-44,-2,-56,-21,-47,-29,-16,-38,-42,-19,-4,-52,-6,-23,-96,-97,-15,-67,-18,-79,-11,-81,-60,-58,-77,-63,-1,-78,-33,-30,-89,-75,-86,-22,-31,-53,-82,-28,-83,-61,-80,-70,-72,-51,-10,-14,-50,-93,-88,-71,-48,-64,-49,-25,-68,-66,-55,-27,-99,-65,-45,-84,-17,-37,-39,-100,-13,-20,-46,-34,-59,-94,-92,-12,-43,-95,-26,-24,-41,-54,-85,-90,-87,-74,-8,-5,-32,-9,-98,-62,-76,-69,-7,-40,-91,-35,-73,-57
-74,-32,-100,-25,-49,-57,-52,-13,-86,-28,-62,-93,-50,-97,-67,-31,-27,-24,-1,-55,-83,-11,-3,-35,-95,-22,-26,-20,-2,-46,-33,-45,-40,-68,-51,-75,-87,-79,-73,-96,-65,-30,-60,-89,-42,-61,-10,-98,-85,-90,-5,-9,-92,-12,-81,-71,-72,-48,-41,-23,-47,-15,-4,-69,-54,-76,-66,-82,-14,-43,-37,-91,-77,-78,-6,-39,-7,-18,-36,-99,-94,-44,-84,-29,-21,-17,-38,-34,-8,-80,-53,-70,-58,-88,-64,-19,-16,-63,-56,-59
-99,-100,-41,-15,-29,-17,-44,-67,-73,-42,-35,-48,-52,-80,-97,-95,-4,-10,-43,-85,-79,-3,-20,-75,-25,-1,-72,-2,-53,-45,-62,-70,-76,-40,-6,-71,-11,-19,-26,-91,-24,-38,-64,-84,-22,-21,-23,-82,-87,-32,-50,-36,-74,-54,-88,-65,-86,-27,-28,-93,-98,-68,-57,-58,-90,-63,-51,-7,-13,-92,-83,-37,-94,-18,-96,-16,-61,-81,-30,-34,-39,-89,-49,-60,-33,-55,-69,-46,-56,-8,-9,-66,-5,-77,-14,-59,-47,-31,-78,-12
-90,-63,-29,-27,-49,-67,-14,-68,-93,-82,-95,-36,-88,-100,-96,-51,-3,-60,-69,-32,-62,-47,-85,-89,-43,-15,-21,-64,-8,-58,-84,-31,-78,-57,-17,-53,-25,-45,-2,-76,-28,-75,-39,-59,-1,-5,-34,-71,-26,-11,-23,-16,-94,-18,-44,-80,-97,-92,-12,-77,-83,-61,-65,-33,-55,-56,-9,-35,-13,-19,-73,-7,-70,-87,-99,-74,-81,-40,-50,-37,-22,-24,-79,-48,-46,-41,-54,-10,-98,-20,-38,-42,-6,-66,-52,-30,-72,-86,-91,-4
