"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88"
86,51,32,26,24,79,35,75,78,3,84,9,81,21,36,80,53,16,88,67,47,59,29,77,11,55,66,61,33,49,72,58,17,12,2,70,22,56,62,37,39,74,82,25,63,13,68,44,18,6,41,54,46,34,10,85,15,5,65,48,43,1,38,31,60,42,64,69,83,27,57,87,71,4,23,30,7,28,8,52,40,76,45,14,50,73,20,19
81,71,31,37,79,63,58,60,86,46,39,62,33,28,23,65,15,6,73,67,51,7,27,53,19,14,69,74,49,25,17,85,40,30,10,18,8,77,66,59,42,75,68,78,11,45,32,83,2,47,29,43,24,88,54,9,56,35,3,13,57,34,64,70,5,76,36,41,21,87,61,80,4,26,16,82,55,48,22,44,50,38,72,12,1,84,52,20
67,19,40,9,32,69,53,65,59,82,4,79,52,66,61,3,87,28,78,15,27,23,7,11,16,77,83,72,48,76,73,54,21,26,64,58,37,41,74,1,30,50,38,31,43,25,2,45,14,60,56,70,6,85,44,22,63,62,42,12,24,29,71,34,13,18,88,80,33,20,84,57,39,10,51,86,47,8,17,55,36,75,5,46,49,35,81,68
52,46,39,8,5,71,75,24,37,42,56,16,40,38,80,82,3,49,63,36,14,50,72,13,25,28,86,58,1,6,29,88,62,26,70,87,33,67,76,10,47,18,83,78,15,11,53,59,41,61,64,34,43,54,7,81,65,48,9,79,73,60,19,27,23,32,69,45,84,22,77,17,68,30,51,35,57,12,4,74,55,44,21,2,20,66,85,31
27,62,44,53,59,20,52,17,85,50,88,40,54,66,76,4,47,42,39,10,60,37,15,32,2,41,18,79,7,82,83,56,26,63,28,67,13,3,51,25,61,68,86,74,48,9,22,58,35,75,87,72,45,49,1,5,12,84,69,29,55,38,57,14,36,65,21,31,70,24,81,46,80,11,30,23,6,64,33,71,16,77,43,8,19,78,34,73
85,61,25,42,28,41,82,27,83,9,66,87,78,24,54,18,75,32,56,40,36,23,13,26,22,11,88,67,57,34,21,37,80,3,45,5,49,84,76,30,73,86,7,81,46,74,33,16,62,15,58,50,60,43,29,64,63,79,69,14,20,38,71,2,10,1,31,55,77,53,19,4,17,39,48,8,68,6,65,52,12,47,35,44,70,51,59,72
49,20,71,74,57,56,62,54,39,48,27,41,3,5,83,14,61,21,19,32,77,17,53,2,24,1,46,8,35,6,85,65,12,40,84,60,10,66,52,75,70,79,78,23,63,15,36,58,50,45,43,7,18,37,82,69,9,25,26,68,33,47,59,31,86,29,88,76,55,16,44,42,4,13,67,51,38,72,22,34,11,73,64,28,30,81,80,87
49,77,34,5,8,58,18,36,87,83,80,28,59,1,55,79,11,42,33,48,81,43,2,62,21,37,26,85,7,54,31,24,14,73,45,15,6,67,32,22,65,39,53,71,25,50,74,66,9,19,82,40,56,16,75,23,3,86,4,70,41,57,44,60,46,29,13,68,47,76,30,27,17,38,64,88,51,20,61,84,63,12,52,10,78,69,35,72
27,5,78,9,3,79,30,6,74,63,48,28,76,73,86,26,24,23,67,77,70,22,87,4,58,11,82,18,51,7,41,72,43,34,12,33,32,47,39,38,52,80,85,61,40,31,2,54,65,21,75,8,45,68,10,44,25,15,29,59,35,60,62,13,53,57,83,49,55,84,46,14,20,81,37,64,17,42,19,1,71,66,69,50,16,56,36,88
13,46,3,65,77,39,31,66,86,5,47,58,28,75,70,2,87,33,6,26,81,4,50,53,18,22,83,12,69,64,79,73,34,8,21,74,16,80,76,55,29,14,59,72,10,61,51,84,7,37,82,71,24,57,56,20,23,15,40,38,43,78,54,62,67,42,11,1,49,35,19,36,17,45,88,32,30,27,48,85,63,41,9,68,60,44,25,52
24,48,38,44,56,52,77,57,59,39,9,53,29,34,67,69,60,36,81,21,15,65,25,54,7,23,30,3,37,66,84,28,68,73,18,61,1,86,31,46,42,58,85,6,4,5,14,55,17,11,87,82,45,8,26,70,80,10,12,41,88,72,83,40,2,50,20,62,13,49,47,32,76,27,16,33,78,51,64,35,63,22,75,43,74,71,19,79
45,87,17,46,19,36,82,54,88,27,66,12,65,10,43,83,16,86,30,69,80,71,78,29,2,39,55,52,3,14,77,44,68,41,5,9,70,32,75,73,50,40,23,25,35,67,20,42,61,81,34,21,22,26,47,84,6,49,62,37,51,85,79,15,57,13,11,38,28,56,4,63,1,58,64,7,74,72,76,53,31,18,24,8,60,48,33,59
70,51,2,11,35,61,50,43,42,41,71,19,67,48,16,81,40,82,63,49,86,39,21,57,14,23,9,80,36,25,24,27,73,65,62,46,1,64,20,56,79,31,58,34,37,8,22,10,5,7,87,69,6,53,52,33,83,88,15,60,59,18,78,13,44,85,77,4,74,72,38,47,54,3,32,84,12,76,66,55,68,75,29,28,45,26,17,30
68,69,77,57,32,28,74,49,80,83,54,20,75,45,38,7,11,18,4,51,30,56,17,44,67,50,47,87,48,22,2,70,27,37,85,39,35,82,31,16,60,81,84,21,79,86,3,76,1,42,72,78,55,29,58,73,46,24,14,25,10,40,88,59,13,36,12,66,64,26,8,53,6,33,43,15,34,19,71,62,41,5,63,9,65,61,52,23
