"","market_type","men_optimal","intermediate","women_optimal"
"1",1,100,0,100
"2",1,100,0,100
"3",1,6,0,94
"4",1,100,0,100
"5",1,100,0,100
"6",1,100,0,100
"7",1,100,0,100
"8",1,100,0,100
"9",1,19,0,81
"10",1,100,0,100
"11",1,100,0,100
"12",1,100,0,100
"13",1,100,0,100
"14",1,100,0,100
"15",1,100,0,100
"16",1,100,0,100
"17",1,24,0,76
"18",1,100,0,100
"19",1,100,0,100
"20",1,100,0,100
"21",1,100,0,100
"22",1,100,0,100
"23",1,100,0,100
"24",1,100,0,100
"25",1,100,0,100
"26",1,100,0,100
"27",1,100,0,100
"28",1,100,0,100
"29",1,100,0,100
"30",1,100,0,100
"31",1,100,0,100
"32",1,14,0,86
"33",1,100,0,100
"34",1,100,0,100
"35",1,100,0,100
"36",1,100,0,100
"37",1,100,0,100
"38",1,100,0,100
"39",1,100,0,100
"40",1,100,0,100
"41",1,100,0,100
"42",1,100,0,100
"43",1,100,0,100
"44",1,31,0,69
"45",1,100,0,100
"46",1,100,0,100
"47",1,100,0,100
"48",1,100,0,100
"49",1,100,0,100
"50",1,29,0,71
"51",1,100,0,100
"52",1,100,0,100
"53",1,100,0,100
"54",1,100,0,100
"55",1,35,0,65
"56",1,100,0,100
"57",1,100,0,100
"58",1,100,0,100
"59",1,100,0,100
"60",1,100,0,100
"61",1,100,0,100
"62",1,6,0,94
"63",1,100,0,100
"64",1,100,0,100
"65",1,100,0,100
"66",1,100,0,100
"67",1,100,0,100
"68",1,100,0,100
"69",1,100,0,100
"70",1,21,0,79
"71",1,8,0,92
"72",1,100,0,100
"73",1,100,0,100
"74",1,100,0,100
"75",1,100,0,100
"76",1,100,0,100
"77",1,100,0,100
"78",1,100,0,100
"79",1,100,0,100
"80",1,100,0,100
"81",1,100,0,100
"82",1,18,0,82
"83",1,100,0,100
"84",1,100,0,100
"85",1,100,0,100
"86",1,32,0,68
"87",1,100,0,100
"88",1,100,0,100
"89",1,100,0,100
"90",1,36,0,64
"91",1,100,0,100
"92",1,100,0,100
"93",1,100,0,100
"94",1,100,0,100
"95",1,100,0,100
"96",1,100,0,100
"97",1,100,0,100
"98",1,100,0,100
"99",1,100,0,100
"100",1,100,0,100
"101",2,100,0,100
"102",2,100,0,100
"103",2,25,0,75
"104",2,100,0,100
"105",2,8,0,92
"106",2,100,0,100
"107",2,100,0,100
"108",2,100,0,100
"109",2,100,0,100
"110",2,100,0,100
"111",2,100,0,100
"112",2,100,0,100
"113",2,100,0,100
"114",2,7,0,93
"115",2,100,0,100
"116",2,100,0,100
"117",2,100,0,100
"118",2,100,0,100
"119",2,100,0,100
"120",2,100,0,100
"121",2,100,0,100
"122",2,100,0,100
"123",2,9,0,91
"124",2,100,0,100
"125",2,100,0,100
"126",2,100,0,100
"127",2,100,0,100
"128",2,15,0,85
"129",2,100,0,100
"130",2,100,0,100
"131",2,100,0,100
"132",2,15,0,85
"133",2,100,0,100
"134",2,100,0,100
"135",2,100,0,100
"136",2,100,0,100
"137",2,100,0,100
"138",2,100,0,100
"139",2,100,0,100
"140",2,100,0,100
"141",2,100,0,100
"142",2,100,0,100
"143",2,100,0,100
"144",2,100,0,100
"145",2,100,0,100
"146",2,100,0,100
"147",2,100,0,100
"148",2,100,0,100
"149",2,100,0,100
"150",2,100,0,100
"151",2,100,0,100
"152",2,100,0,100
"153",2,100,0,100
"154",2,12,0,88
"155",2,100,0,100
"156",2,100,0,100
"157",2,100,0,100
"158",2,44,0,56
"159",2,100,0,100
"160",2,100,0,100
"161",2,100,0,100
"162",2,100,0,100
"163",2,100,0,100
"164",2,100,0,100
"165",2,100,0,100
"166",2,7,0,93
"167",2,100,0,100
"168",2,100,0,100
"169",2,100,0,100
"170",2,100,0,100
"171",2,100,0,100
"172",2,100,0,100
"173",2,100,0,100
"174",2,100,0,100
"175",2,100,0,100
"176",2,37,0,63
"177",2,100,0,100
"178",2,100,0,100
"179",2,100,0,100
"180",2,9,0,91
"181",2,8,0,92
"182",2,100,0,100
"183",2,100,0,100
"184",2,5,0,95
"185",2,100,0,100
"186",2,100,0,100
"187",2,100,0,100
"188",2,100,0,100
"189",2,100,0,100
"190",2,100,0,100
"191",2,100,0,100
"192",2,100,0,100
"193",2,4,0,96
"194",2,100,0,100
"195",2,25,0,75
"196",2,100,0,100
"197",2,100,0,100
"198",2,100,0,100
"199",2,100,0,100
"200",2,100,0,100
"201",3,18,0,82
"202",3,100,0,100
"203",3,100,0,100
"204",3,100,0,100
"205",3,100,0,100
"206",3,10,0,90
"207",3,100,0,100
"208",3,100,0,100
"209",3,100,0,100
"210",3,33,0,67
"211",3,100,0,100
"212",3,100,0,100
"213",3,9,0,91
"214",3,100,0,100
"215",3,20,0,80
"216",3,100,0,100
"217",3,100,0,100
"218",3,100,0,100
"219",3,9,0,91
"220",3,100,0,100
"221",3,100,0,100
"222",3,100,0,100
"223",3,100,0,100
"224",3,100,0,100
"225",3,100,0,100
"226",3,100,0,100
"227",3,100,0,100
"228",3,100,0,100
"229",3,100,0,100
"230",3,100,0,100
"231",3,100,0,100
"232",3,100,0,100
"233",3,100,0,100
"234",3,100,0,100
"235",3,100,0,100
"236",3,100,0,100
"237",3,100,0,100
"238",3,100,0,100
"239",3,100,0,100
"240",3,100,0,100
"241",3,100,0,100
"242",3,100,0,100
"243",3,100,0,100
"244",3,100,0,100
"245",3,10,0,90
"246",3,100,0,100
"247",3,31,0,69
"248",3,100,0,100
"249",3,100,0,100
"250",3,11,30,59
"251",3,100,0,100
"252",3,100,0,100
"253",3,100,0,100
"254",3,100,0,100
"255",3,100,0,100
"256",3,17,0,83
"257",3,100,0,100
"258",3,100,0,100
"259",3,100,0,100
"260",3,100,0,100
"261",3,100,0,100
"262",3,100,0,100
"263",3,35,0,65
"264",3,100,0,100
"265",3,18,0,82
"266",3,100,0,100
"267",3,100,0,100
"268",3,18,0,82
"269",3,100,0,100
"270",3,100,0,100
